GEOID,STATEFP,COUNTYFP,metro_code,Hub_distance,NAME_2,NAMELSAD_2,Metro_Area
06037124105,06,037,31080.0,21223.119188899454,Los Angeles,Los Angeles County,Los Angeles
06037124201,06,037,31080.0,22030.314333005008,Los Angeles,Los Angeles County,Los Angeles
06037124203,06,037,31080.0,21398.51095760637,Los Angeles,Los Angeles County,Los Angeles
06037124204,06,037,31080.0,21087.249395112867,Los Angeles,Los Angeles County,Los Angeles
06037124300,06,037,31080.0,21855.728575146084,Los Angeles,Los Angeles County,Los Angeles
06037124400,06,037,31080.0,19192.559277588178,Los Angeles,Los Angeles County,Los Angeles
06037124500,06,037,31080.0,18188.967248005934,Los Angeles,Los Angeles County,Los Angeles
06037124600,06,037,31080.0,17213.614334594055,Los Angeles,Los Angeles County,Los Angeles
06037124700,06,037,31080.0,17718.571736075373,Los Angeles,Los Angeles County,Los Angeles
06037124902,06,037,31080.0,19293.52468347208,Los Angeles,Los Angeles County,Los Angeles
06037124903,06,037,31080.0,18964.524929387295,Los Angeles,Los Angeles County,Los Angeles
06037125101,06,037,,19611.594536551886,Los Angeles,Los Angeles County,Los Angeles
06037125102,06,037,,18976.239914453745,Los Angeles,Los Angeles County,Los Angeles
06037125200,06,037,31080.0,19799.856654926447,Los Angeles,Los Angeles County,Los Angeles
06037125310,06,037,31080.0,21234.10116396367,Los Angeles,Los Angeles County,Los Angeles
06037125321,06,037,,21044.757395158504,Los Angeles,Los Angeles County,Los Angeles
06037125322,06,037,,20522.695040414903,Los Angeles,Los Angeles County,Los Angeles
06037125402,06,037,31080.0,19642.815303985513,Los Angeles,Los Angeles County,Los Angeles
06037125403,06,037,,20033.40354308711,Los Angeles,Los Angeles County,Los Angeles
06037125404,06,037,,20230.60465159979,Los Angeles,Los Angeles County,Los Angeles
06037125501,06,037,31080.0,20631.296725641238,Los Angeles,Los Angeles County,Los Angeles
06037125502,06,037,31080.0,20171.46116940775,Los Angeles,Los Angeles County,Los Angeles
06037125600,06,037,31080.0,20816.913998397285,Los Angeles,Los Angeles County,Los Angeles
06037127102,06,037,31080.0,20736.66189091258,Los Angeles,Los Angeles County,Los Angeles
06037127103,06,037,31080.0,21248.831851988623,Los Angeles,Los Angeles County,Los Angeles
06037127104,06,037,31080.0,21020.123214181265,Los Angeles,Los Angeles County,Los Angeles
06037127210,06,037,31080.0,20394.78983328445,Los Angeles,Los Angeles County,Los Angeles
06037127220,06,037,31080.0,20277.738932416323,Los Angeles,Los Angeles County,Los Angeles
06037127300,06,037,31080.0,20072.7306363599,Los Angeles,Los Angeles County,Los Angeles
06037127400,06,037,31080.0,20057.516942467242,Los Angeles,Los Angeles County,Los Angeles
06037127520,06,037,31080.0,21118.423434584223,Los Angeles,Los Angeles County,Los Angeles
06037127603,06,037,31080.0,18429.897713560626,Los Angeles,Los Angeles County,Los Angeles
06037127604,06,037,31080.0,18813.469110244238,Los Angeles,Los Angeles County,Los Angeles
06037127605,06,037,31080.0,17685.54383897407,Los Angeles,Los Angeles County,Los Angeles
06037127606,06,037,31080.0,17928.852874293694,Los Angeles,Los Angeles County,Los Angeles
06037127711,06,037,31080.0,17956.646103524923,Los Angeles,Los Angeles County,Los Angeles
06037127712,06,037,31080.0,18924.41926919963,Los Angeles,Los Angeles County,Los Angeles
06037127803,06,037,31080.0,19546.685176109426,Los Angeles,Los Angeles County,Los Angeles
06037127804,06,037,31080.0,19215.786048632606,Los Angeles,Los Angeles County,Los Angeles
06037127805,06,037,31080.0,18832.61264737586,Los Angeles,Los Angeles County,Los Angeles
06037127806,06,037,31080.0,18486.103727109494,Los Angeles,Los Angeles County,Los Angeles
06037127910,06,037,31080.0,19905.987468500472,Los Angeles,Los Angeles County,Los Angeles
06037127920,06,037,31080.0,20287.088539986416,Los Angeles,Los Angeles County,Los Angeles
06037128101,06,037,31080.0,19559.842802763083,Los Angeles,Los Angeles County,Los Angeles
06037128102,06,037,31080.0,19192.97213698432,Los Angeles,Los Angeles County,Los Angeles
06037128210,06,037,31080.0,18541.10729839188,Los Angeles,Los Angeles County,Los Angeles
06037128220,06,037,31080.0,18894.56869565525,Los Angeles,Los Angeles County,Los Angeles
06037128302,06,037,31080.0,17883.818275045724,Los Angeles,Los Angeles County,Los Angeles
06037128303,06,037,31080.0,18138.803954859533,Los Angeles,Los Angeles County,Los Angeles
06037128400,06,037,31080.0,17222.497642017825,Los Angeles,Los Angeles County,Los Angeles
06037128500,06,037,31080.0,17217.811594725707,Los Angeles,Los Angeles County,Los Angeles
06037128601,06,037,31080.0,18159.989733936676,Los Angeles,Los Angeles County,Los Angeles
06037128602,06,037,31080.0,17688.94903800292,Los Angeles,Los Angeles County,Los Angeles
06037128703,06,037,,16235.97505460811,Los Angeles,Los Angeles County,Los Angeles
06037128704,06,037,,16621.907174916323,Los Angeles,Los Angeles County,Los Angeles
06037128801,06,037,31080.0,16137.787508872312,Los Angeles,Los Angeles County,Los Angeles
06037128802,06,037,31080.0,16587.478488976423,Los Angeles,Los Angeles County,Los Angeles
06037128910,06,037,31080.0,15789.922385573236,Los Angeles,Los Angeles County,Los Angeles
06037131021,06,037,,19732.01712538451,Los Angeles,Los Angeles County,Los Angeles
06037131022,06,037,,19054.857180987256,Los Angeles,Los Angeles County,Los Angeles
06037131023,06,037,,18306.71993047697,Los Angeles,Los Angeles County,Los Angeles
06037131024,06,037,,17322.634769775406,Los Angeles,Los Angeles County,Los Angeles
06037131100,06,037,31080.0,19851.817806891293,Los Angeles,Los Angeles County,Los Angeles
06037131200,06,037,31080.0,19730.63345493733,Los Angeles,Los Angeles County,Los Angeles
06037131300,06,037,31080.0,19620.463779843296,Los Angeles,Los Angeles County,Los Angeles
06037131400,06,037,31080.0,19506.20479561604,Los Angeles,Los Angeles County,Los Angeles
06037131600,06,037,31080.0,19221.086282218897,Los Angeles,Los Angeles County,Los Angeles
06037131701,06,037,31080.0,18130.514357743858,Los Angeles,Los Angeles County,Los Angeles
06037131702,06,037,31080.0,18202.700128016324,Los Angeles,Los Angeles County,Los Angeles
06037131801,06,037,,18426.999044909247,Los Angeles,Los Angeles County,Los Angeles
06037131802,06,037,,18523.084469064564,Los Angeles,Los Angeles County,Los Angeles
06037131900,06,037,31080.0,18700.514558375326,Los Angeles,Los Angeles County,Los Angeles
06037132001,06,037,31080.0,17249.403867438126,Los Angeles,Los Angeles County,Los Angeles
06037132002,06,037,31080.0,17676.513040664,Los Angeles,Los Angeles County,Los Angeles
06037132101,06,037,31080.0,17424.211357681346,Los Angeles,Los Angeles County,Los Angeles
06037132102,06,037,31080.0,18654.885982038737,Los Angeles,Los Angeles County,Los Angeles
06037132301,06,037,,17879.707127837424,Los Angeles,Los Angeles County,Los Angeles
06037132302,06,037,,17484.610496120153,Los Angeles,Los Angeles County,Los Angeles
06037132501,06,037,31080.0,17401.456050557146,Los Angeles,Los Angeles County,Los Angeles
06037132502,06,037,31080.0,16674.328863784045,Los Angeles,Los Angeles County,Los Angeles
06037132700,06,037,31080.0,16865.186360434276,Los Angeles,Los Angeles County,Los Angeles
06037132900,06,037,31080.0,16133.384926965591,Los Angeles,Los Angeles County,Los Angeles
06037133000,06,037,31080.0,17098.421898350094,Los Angeles,Los Angeles County,Los Angeles
06037133101,06,037,,15925.989086219935,Los Angeles,Los Angeles County,Los Angeles
06037133102,06,037,,16143.734071501176,Los Angeles,Los Angeles County,Los Angeles
06037134001,06,037,37100.0,17867.453975544286,Los Angeles,Los Angeles County,Los Angeles
06037134002,06,037,31080.0,17814.989909665077,Los Angeles,Los Angeles County,Los Angeles
06037134101,06,037,31080.0,19167.25321513869,Los Angeles,Los Angeles County,Los Angeles
06037134103,06,037,31080.0,19398.526886089097,Los Angeles,Los Angeles County,Los Angeles
06037134104,06,037,31080.0,18907.42833878263,Los Angeles,Los Angeles County,Los Angeles
06037134201,06,037,37100.0,19179.75030434743,Los Angeles,Los Angeles County,Los Angeles
06037134302,06,037,37100.0,19498.33763783798,Los Angeles,Los Angeles County,Los Angeles
06037134303,06,037,37100.0,18257.506019105887,Los Angeles,Los Angeles County,Los Angeles
06037134304,06,037,37100.0,19399.281963113255,Los Angeles,Los Angeles County,Los Angeles
06037134305,06,037,37100.0,19738.329600319634,Los Angeles,Los Angeles County,Los Angeles
06037134306,06,037,37100.0,19110.674502398146,Los Angeles,Los Angeles County,Los Angeles
06037134421,06,037,37100.0,18157.010678648072,Los Angeles,Los Angeles County,Los Angeles
06037134422,06,037,37100.0,18380.360210845047,Los Angeles,Los Angeles County,Los Angeles
06037134423,06,037,37100.0,19551.381538777372,Los Angeles,Los Angeles County,Los Angeles
